name_song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
מדבר עם עצמי,0.736,0.895,-6.071,0.103,0.774,0.0,0.262,0.817,98.996,festigal
איש השאלות,0.824,0.775,-6.811,0.0396,0.106,0.0,0.295,0.979,120.004,festigal
SOS,0.727,0.949,-3.511,0.102,0.0496,0.0,0.129,0.539,119.955,festigal
יאללה ביי,0.636,0.551,-8.742,0.0275,0.111,0.0,0.244,0.294,113.361,israeli singer-songwriter
איש הכפר,0.593,0.22,-12.792,0.0304,0.875,0.000275,0.0933,0.214,74.507,israeli singer-songwriter
גשם,0.461,0.0735,-19.149,0.0745,0.942,0.014,0.0861,0.266,166.76,israeli singer-songwriter
סיגל נחמיאס,0.582,0.21,-12.238,0.0354,0.886,0.0,0.134,0.207,81.414,israeli singer-songwriter
רנה,0.567,0.722,-6.762,0.0313,0.265,1.12e-06,0.0756,0.393,83.004,israeli singer-songwriter
עולה עולה,0.67,0.665,-6.633,0.0399,0.494,0.0,0.133,0.644,133.26,classic israeli pop
ניגונה של השכונה,0.607,0.227,-16.027,0.0289,0.841,1.22e-05,0.326,0.195,107.912,classic israeli pop
אבניבי,0.562,0.966,-4.81,0.154,0.116,0.0,0.0984,0.555,143.623,classic israeli pop
חלומות שמורים,0.277,0.401,-6.878,0.0287,0.583,0.0,0.144,0.101,172.804,classic israeli pop
יש לך שמש,0.603,0.817,-10.066,0.115,0.0882,0.00518,0.0807,0.432,140.022,israeli rock
Music,0.271,0.37,-10.881,0.0288,0.301,0.0309,0.523,0.176,87.203,classic uk pop
Music,0.276,0.628,-12.491,0.0789,0.707,0.0724,0.845,0.136,91.142,classic uk pop
Music,0.266,0.308,-12.955,0.0302,0.012,0.0241,0.632,0.124,87.249,classic uk pop
Music,0.251,0.467,-7.112,0.0305,0.231,0.0358,0.352,0.15,83.347,classic uk pop
Солнышко,0.664,0.96,-8.831,0.0365,0.00454,0.0243,0.0815,0.731,137.991,russian pop
2000 лет,0.795,0.858,-7.623,0.0403,0.0437,0.0164,0.203,0.679,131.002,russian pop
Солнышко,0.659,0.989,-7.426,0.0391,0.00699,0.126,0.198,0.694,137.992,russian pop
2000 лет,0.792,0.86,-7.627,0.0406,0.0442,0.00945,0.2,0.691,130.99,russian pop
Я не знаю,0.66,0.943,-8.345,0.0424,0.0067,0.0423,0.0801,0.786,137.982,russian pop
Я не знаю,0.661,0.942,-8.359,0.0425,0.00672,0.027,0.0823,0.791,137.981,russian pop
Дождик,0.727,0.894,-8.95,0.0502,0.011,9e-05,0.0663,0.936,140.019,russian pop
River Man,0.394,0.136,-19.807,0.0353,0.643,0.515,0.0998,0.189,119.933,vocal jazz
Sokratis,0.576,0.596,-8.399,0.0318,0.651,0.0,0.436,0.785,137.566,"classic eurovision, classic greek pop"
Sti Ntiskotek,0.647,0.57,-10.28,0.0294,0.0359,0.0,0.168,0.725,126.431,"classic eurovision, classic greek pop"
Child Psychology,0.354,0.394,-11.563,0.053,0.132,0.044,0.131,0.166,160.554,britpop
שוב הדיסקו כאן,0.708,0.816,-6.293,0.0366,0.016,3.67e-05,0.116,0.962,125.003,israeli pop
יצאנו לרקוד,0.662,0.889,-6.325,0.0446,0.0179,0.000367,0.131,0.857,126.093,israeli pop
לבדוק לך ת'מנוע,0.698,0.858,-6.597,0.0419,0.0944,0.000282,0.567,0.856,125.981,israeli pop
לא בא לי לשמוע,0.424,0.463,-7.299,0.0249,0.751,7.53e-06,0.28,0.272,85.616,israeli pop
אור כחול,0.629,0.949,-7.302,0.0581,0.00927,0.00685,0.107,0.899,128.045,israeli pop
אחלה בחלה,0.492,0.147,-7.947,0.0291,0.526,0.0,0.132,0.991,106.24,israeli pop
עוד לילה,0.625,0.781,-5.118,0.0401,0.145,5.27e-06,0.109,0.621,128.03,israeli pop
כל מה שרצית,0.447,0.595,-4.365,0.0267,0.0491,0.0,0.206,0.384,76.013,israeli pop
את,0.711,0.804,-6.953,0.038,0.00963,0.000121,0.0421,0.91,135.021,israeli pop
סמבה סתיו,0.573,0.646,-8.618,0.0557,0.38,1.68e-05,0.0885,0.857,170.042,israeli pop
הידעת?,0.658,0.738,-5.376,0.0537,0.446,2.59e-06,0.0605,0.909,153.021,israeli pop
לא פוגע,0.486,0.811,-6.388,0.0395,0.000289,0.000747,0.13,0.726,157.922,israeli pop
אם רק תדברי,0.351,0.257,-11.958,0.0307,0.825,7.27e-06,0.298,0.373,71.88,israeli pop
רוצה לרקוד,0.713,0.595,-8.523,0.0837,0.0634,1.04e-05,0.257,0.73,136.976,israeli pop
מים קרים,0.782,0.663,-8.065,0.152,0.00844,0.000592,0.403,0.638,107.935,israeli pop
שיר לאהבה,0.682,0.509,-12.643,0.0313,0.249,3.95e-06,0.629,0.523,97.306,israeli pop
Беги от меня,0.717,0.872,-6.181,0.0789,0.225,0.0139,0.0934,0.804,125.177,russian pop
Нелюбовь,0.66,0.888,-7.32,0.0862,0.2,0.000967,0.344,0.269,127.539,russian pop
Я с тобой,0.737,0.952,-4.67,0.0585,0.00417,5.45e-05,0.0879,0.615,130.135,russian pop
